INDEX  | TEXT       | TYPE            | LINE  | COL  
48     | ,          | COMMA           | 5     | 31   
49     | 1i         | COMPLEX         | 5     | 32   
50     | )          | RPAREN          | 5     | 34   
51     | )          | RPAREN          | 5     | 35   
52     | main       | MAIN            | 7     | 0    
53     | (          | LPAREN          | 7     | 4    
54     | )          | RPAREN          | 7     | 5    
55     | {          | LCURLY          | 7     | 7    
56     | x          | IDENTIFIER      | 8     | 4    
57     | =          | ASSIGN          | 8     | 6    
58     | <ket1|     | BRA_IDENTIFIER  | 8     | 8    
59     | @          | TENSOR          | 8     | 14   
60     | <ket1|     | BRA_IDENTIFIER  | 8     | 15   
61     | *          | MUL             | 8     | 21   
62     | |ket0>     | KET_IDENTIFIER  | 8     | 22   
63     | @          | TENSOR          | 8     | 28   
64     | |ket0>     | KET_IDENTIFIER  | 8     | 29   
65     | y          | IDENTIFIER      | 9     | 4    
66     | =          | ASSIGN          | 9     | 6    
67     | (          | LPAREN          | 9     | 8    
68     | (          | LPAREN          | 9     | 9    
69     | 1          | INT             | 9     | 10   
70     | <          | LT              | 9     | 12   
71     | 2          | INT             | 9     | 14   
72     | )          | RPAREN          | 9     | 15   
73     | ||         | LOGICAL_OR      | 9     | 17   
74     | true       | BOOL_TRUE       | 9     | 20   
75     | )          | RPAREN          | 9     | 24   
76     | &&         | LOGICAL_AND     | 9     | 26   
77     | 3          | INT             | 9     | 29   
78     | >          | GT              | 9     | 31   
79     | 4          | INT             | 9     | 33   
80     | z          | IDENTIFIER      | 10    | 4    
81     | =          | ASSIGN          | 10    | 6    
82     | (          | LPAREN          | 10    | 8    
83     | 1          | INT             | 10    | 9    
84     | +          | ADD             | 10    | 10   
85     | 2i         | COMPLEX         | 10    | 11   
86     | )          | RPAREN          | 10    | 13   
87     | *          | MUL             | 10    | 15   
88     | -          | SUB             | 10    | 17   
89     | 1          | INT             | 10    | 18   
90     | print      | IDENTIFIER      | 11    | 4    
91     | (          | LPAREN          | 11    | 9    
92     | x          | IDENTIFIER      | 11    | 10   
93     | )          | RPAREN          | 11    | 11   
94     | |ket0>     | KET_IDENTIFIER  | 12    | 4    
95     | =          | ASSIGN          | 12    | 11   
96     | (          | LPAREN          | 12    | 13   
97     | 1          | INT             | 12    | 14   
98     | ,          | COMMA           | 12    | 15   
99     | 0          | INT             | 12    | 16   
100    | )          | RPAREN          | 12    | 17   
101    | |ket1>     | KET_IDENTIFIER  | 13    | 4    
102    | =          | ASSIGN          | 13    | 11   
103    | (          | LPAREN          | 13    | 13   
104    | 0          | INT             | 13    | 14   
105    | ,          | COMMA           | 13    | 15   
106    | 1          | INT             | 13    | 16   
107    | )          | RPAREN          | 13    | 17   
108    | op         | IDENTIFIER      | 14    | 4    
109    | =          | ASSIGN          | 14    | 7    
110    | (          | LPAREN          | 14    | 9    
111    | (          | LPAREN          | 14    | 10   
112    | 1          | INT             | 14    | 11   
113    | ,          | COMMA           | 14    | 12   
114    | 0          | INT             | 14    | 13   
115    | )          | RPAREN          | 14    | 14   
116    | ,          | COMMA           | 14    | 15   
117    | (          | LPAREN          | 14    | 17   
118    | 0          | INT             | 14    | 18   
119    | ,          | COMMA           | 14    | 19   
120    | 1          | INT             | 14    | 20   
121    | )          | RPAREN          | 14    | 21   
122    | )          | RPAREN          | 14    | 22   
123    | op2        | IDENTIFIER      | 15    | 4    
124    | =          | ASSIGN          | 15    | 8    
125    | 1          | INT             | 15    | 10   
126    | /          | DIV             | 15    | 11   
127    | 2          | INT             | 15    | 12   
128    | *          | MUL             | 15    | 14   
129    | (          | LPAREN          | 15    | 16   
130    | (          | LPAREN          | 15    | 17   
131    | 1i         | COMPLEX         | 15    | 18   
132    | ,          | COMMA           | 15    | 20   
133    | 1i         | COMPLEX         | 15    | 21   
134    | )          | RPAREN          | 15    | 23   
135    | ,          | COMMA           | 15    | 24   
136    | (          | LPAREN          | 15    | 26   
137    | 1i         | COMPLEX         | 15    | 27   
138    | ,          | COMMA           | 15    | 29   
139    | 1i         | COMPLEX         | 15    | 30   
140    | )          | RPAREN          | 15    | 32   
141    | )          | RPAREN          | 15    | 33   
142    | |ket0>     | KET_IDENTIFIER  | 16    | 4    
143    | =          | ASSIGN          | 16    | 11   
144    | (          | LPAREN          | 16    | 13   
145    | 1          | INT             | 16    | 14   
146    | ,          | COMMA           | 16    | 15   
147    | 0          | INT             | 16    | 16   
148    | )          | RPAREN          | 16    | 17   
149    | |ket1>     | KET_IDENTIFIER  | 17    | 4    
150    | =          | ASSIGN          | 17    | 11   
151    | (          | LPAREN          | 17    | 13   
152    | 0          | INT             | 17    | 14   
153    | ,          | COMMA           | 17    | 15   
154    | 1          | INT             | 17    | 16   
155    | )          | RPAREN          | 17    | 17   
156    | op         | IDENTIFIER      | 18    | 4    
157    | =          | ASSIGN          | 18    | 7    
158    | (          | LPAREN          | 18    | 9    
159    | (          | LPAREN          | 18    | 10   
160    | 1          | INT             | 18    | 11   
161    | ,          | COMMA           | 18    | 12   
162    | 0          | INT             | 18    | 13   
163    | )          | RPAREN          | 18    | 14   
164    | ,          | COMMA           | 18    | 15   
165    | (          | LPAREN          | 18    | 17   
166    | 0          | INT             | 18    | 18   
167    | ,          | COMMA           | 18    | 19   
168    | 1          | INT             | 18    | 20   
169    | )          | RPAREN          | 18    | 21   
170    | )          | RPAREN          | 18    | 22   
171    | op2        | IDENTIFIER      | 19    | 4    
172    | =          | ASSIGN          | 19    | 8    
173    | 1          | INT             | 19    | 10   
174    | /          | DIV             | 19    | 11   
175    | 2          | INT             | 19    | 12   
176    | *          | MUL             | 19    | 14   
177    | (          | LPAREN          | 19    | 16   
178    | (          | LPAREN          | 19    | 17   
179    | 1i         | COMPLEX         | 19    | 18   
180    | ,          | COMMA           | 19    | 20   
181    | 1i         | COMPLEX         | 19    | 21   
182    | )          | RPAREN          | 19    | 23   
183    | ,          | COMMA           | 19    | 24   
184    | (          | LPAREN          | 19    | 26   
185    | 1i         | COMPLEX         | 19    | 27   
186    | ,          | COMMA           | 19    | 29   
187    | 1i         | COMPLEX         | 19    | 30   
188    | )          | RPAREN          | 19    | 32   
189    | )          | RPAREN          | 19    | 33   
190    | |ket0>     | KET_IDENTIFIER  | 20    | 8    
191    | =          | ASSIGN          | 20    | 15   
192    | (          | LPAREN          | 20    | 17   
193    | 1          | INT             | 20    | 18   
194    | ,          | COMMA           | 20    | 19   
195    | 0          | INT             | 20    | 20   
196    | )          | RPAREN          | 20    | 21   
197    | |ket1>     | KET_IDENTIFIER  | 21    | 4    
198    | =          | ASSIGN          | 21    | 11   
199    | (          | LPAREN          | 21    | 13   
200    | 0          | INT             | 21    | 14   
201    | ,          | COMMA           | 21    | 15   
202    | 1          | INT             | 21    | 16   
203    | )          | RPAREN          | 21    | 17   
204    | op         | IDENTIFIER      | 22    | 4    
205    | =          | ASSIGN          | 22    | 7    
206    | (          | LPAREN          | 22    | 9    
207    | (          | LPAREN          | 22    | 10   
208    | 1          | INT             | 22    | 11   
209    | ,          | COMMA           | 22    | 12   
210    | 0          | INT             | 22    | 13   
211    | )          | RPAREN          | 22    | 14   
212    | ,          | COMMA           | 22    | 15   
213    | (          | LPAREN          | 22    | 17   
214    | 0          | INT             | 22    | 18   
215    | ,          | COMMA           | 22    | 19   
216    | 1          | INT             | 22    | 20   
217    | )          | RPAREN          | 22    | 21   
218    | )          | RPAREN          | 22    | 22   
219    | op2        | IDENTIFIER      | 23    | 4    
220    | =          | ASSIGN          | 23    | 8    
221    | 1          | INT             | 23    | 10   
222    | /          | DIV             | 23    | 11   
223    | 2          | INT             | 23    | 12   
224    | *          | MUL             | 23    | 14   
225    | (          | LPAREN          | 23    | 16   
226    | (          | LPAREN          | 23    | 17   
227    | 1i         | COMPLEX         | 23    | 18   
228    | ,          | COMMA           | 23    | 20   
229    | 1i         | COMPLEX         | 23    | 21   
230    | )          | RPAREN          | 23    | 23   
231    | ,          | COMMA           | 23    | 24   
232    | (          | LPAREN          | 23    | 26   
233    | 1i         | COMPLEX         | 23    | 27   
234    | ,          | COMMA           | 23    | 29   
235    | 1i         | COMPLEX         | 23    | 30   
236    | )          | RPAREN          | 23    | 32   
237    | )          | RPAREN          | 23    | 33   
238    | |ket0>     | KET_IDENTIFIER  | 24    | 4    
239    | =          | ASSIGN          | 24    | 11   
240    | (          | LPAREN          | 24    | 13   
241    | 1          | INT             | 24    | 14   
242    | ,          | COMMA           | 24    | 15   
243    | 0          | INT             | 24    | 16   
244    | )          | RPAREN          | 24    | 17   
245    | |ket1>     | KET_IDENTIFIER  | 25    | 4    
246    | =          | ASSIGN          | 25    | 11   
247    | (          | LPAREN          | 25    | 13   
248    | 0          | INT             | 25    | 14   
249    | ,          | COMMA           | 25    | 15   
250    | 1          | INT             | 25    | 16   
251    | )          | RPAREN          | 25    | 17   
252    | op         | IDENTIFIER      | 26    | 4    
253    | =          | ASSIGN          | 26    | 7    
254    | (          | LPAREN          | 26    | 9    
255    | (          | LPAREN          | 26    | 10   
256    | 1          | INT             | 26    | 11   
257    | ,          | COMMA           | 26    | 12   
258    | 0          | INT             | 26    | 13   
259    | )          | RPAREN          | 26    | 14   
260    | ,          | COMMA           | 26    | 15   
261    | (          | LPAREN          | 26    | 17   
262    | 0          | INT             | 26    | 18   
263    | ,          | COMMA           | 26    | 19   
264    | 1          | INT             | 26    | 20   
265    | )          | RPAREN          | 26    | 21   
266    | )          | RPAREN          | 26    | 22   
267    | op2        | IDENTIFIER      | 27    | 4    
268    | =          | ASSIGN          | 27    | 8    
269    | 1          | INT             | 27    | 10   
270    | /          | DIV             | 27    | 11   
271    | 2          | INT             | 27    | 12   
272    | *          | MUL             | 27    | 14   
273    | (          | LPAREN          | 27    | 16   
274    | (          | LPAREN          | 27    | 17   
275    | 1i         | COMPLEX         | 27    | 18   
276    | ,          | COMMA           | 27    | 20   
277    | 1i         | COMPLEX         | 27    | 21   
278    | )          | RPAREN          | 27    | 23   
279    | ,          | COMMA           | 27    | 24   
280    | (          | LPAREN          | 27    | 26   
281    | 1i         | COMPLEX         | 27    | 27   
282    | ,          | COMMA           | 27    | 29   
283    | 1i         | COMPLEX         | 27    | 30   
284    | )          | RPAREN          | 27    | 32   
285    | )          | RPAREN          | 27    | 33   
286    | |ket0>     | KET_IDENTIFIER  | 28    | 8    
287    | =          | ASSIGN          | 28    | 15   
288    | (          | LPAREN          | 28    | 17   
289    | 1          | INT             | 28    | 18   
290    | ,          | COMMA           | 28    | 19   
291    | 0          | INT             | 28    | 20   
292    | )          | RPAREN          | 28    | 21   
293    | |ket1>     | KET_IDENTIFIER  | 29    | 4    
294    | =          | ASSIGN          | 29    | 11   
295    | (          | LPAREN          | 29    | 13   
296    | 0          | INT             | 29    | 14   
297    | ,          | COMMA           | 29    | 15   
298    | 1          | INT             | 29    | 16   
299    | )          | RPAREN          | 29    | 17   
300    | op         | IDENTIFIER      | 30    | 4    
301    | =          | ASSIGN          | 30    | 7    
302    | (          | LPAREN          | 30    | 9    
303    | (          | LPAREN          | 30    | 10   
304    | 1          | INT             | 30    | 11   
305    | ,          | COMMA           | 30    | 12   
306    | 0          | INT             | 30    | 13   
307    | )          | RPAREN          | 30    | 14   
308    | ,          | COMMA           | 30    | 15   
309    | (          | LPAREN          | 30    | 17   
310    | 0          | INT             | 30    | 18   
311    | ,          | COMMA           | 30    | 19   
312    | 1          | INT             | 30    | 20   
313    | )          | RPAREN          | 30    | 21   
314    | )          | RPAREN          | 30    | 22   
315    | op2        | IDENTIFIER      | 31    | 4    
316    | =          | ASSIGN          | 31    | 8    
317    | 1          | INT             | 31    | 10   
318    | /          | DIV             | 31    | 11   
319    | 2          | INT             | 31    | 12   
320    | *          | MUL             | 31    | 14   
321    | (          | LPAREN          | 31    | 16   
322    | (          | LPAREN          | 31    | 17   
323    | 1i         | COMPLEX         | 31    | 18   
324    | ,          | COMMA           | 31    | 20   
325    | 1i         | COMPLEX         | 31    | 21   
326    | )          | RPAREN          | 31    | 23   
327    | ,          | COMMA           | 31    | 24   
328    | (          | LPAREN          | 31    | 26   
329    | 1i         | COMPLEX         | 31    | 27   
330    | ,          | COMMA           | 31    | 29   
331    | 1i         | COMPLEX         | 31    | 30   
332    | )          | RPAREN          | 31    | 32   
333    | )          | RPAREN          | 31    | 33   
334    | |ket0>     | KET_IDENTIFIER  | 32    | 4    
335    | =          | ASSIGN          | 32    | 11   
336    | (          | LPAREN          | 32    | 13   
337    | 1          | INT             | 32    | 14   
338    | ,          | COMMA           | 32    | 15   
339    | 0          | INT             | 32    | 16   
340    | )          | RPAREN          | 32    | 17   
341    | |ket1>     | KET_IDENTIFIER  | 33    | 4    
342    | =          | ASSIGN          | 33    | 11   
343    | (          | LPAREN          | 33    | 13   
344    | 0          | INT             | 33    | 14   
345    | ,          | COMMA           | 33    | 15   
346    | 1          | INT             | 33    | 16   
347    | )          | RPAREN          | 33    | 17   
348    | op         | IDENTIFIER      | 34    | 4    
349    | =          | ASSIGN          | 34    | 7    
350    | (          | LPAREN          | 34    | 9    
351    | (          | LPAREN          | 34    | 10   
352    | 1          | INT             | 34    | 11   
353    | ,          | COMMA           | 34    | 12   
354    | 0          | INT             | 34    | 13   
355    | )          | RPAREN          | 34    | 14   
356    | ,          | COMMA           | 34    | 15   
357    | (          | LPAREN          | 34    | 17   
358    | 0          | INT             | 34    | 18   
359    | ,          | COMMA           | 34    | 19   
360    | 1          | INT             | 34    | 20   
361    | )          | RPAREN          | 34    | 21   
362    | )          | RPAREN          | 34    | 22   
363    | op2        | IDENTIFIER      | 35    | 4    
364    | =          | ASSIGN          | 35    | 8    
365    | 1          | INT             | 35    | 10   
366    | /          | DIV             | 35    | 11   
367    | 2          | INT             | 35    | 12   
368    | *          | MUL             | 35    | 14   
369    | (          | LPAREN          | 35    | 16   
370    | (          | LPAREN          | 35    | 17   
371    | 1i         | COMPLEX         | 35    | 18   
372    | ,          | COMMA           | 35    | 20   
373    | 1i         | COMPLEX         | 35    | 21   
374    | )          | RPAREN          | 35    | 23   
375    | ,          | COMMA           | 35    | 24   
376    | (          | LPAREN          | 35    | 26   
377    | 1i         | COMPLEX         | 35    | 27   
378    | ,          | COMMA           | 35    | 29   
379    | 1i         | COMPLEX         | 35    | 30   
380    | )          | RPAREN          | 35    | 32   
381    | )          | RPAREN          | 35    | 33   
382    | |ket0>     | KET_IDENTIFIER  | 36    | 4    
383    | =          | ASSIGN          | 36    | 11   
384    | (          | LPAREN          | 36    | 13   
385    | 1          | INT             | 36    | 14   
386    | ,          | COMMA           | 36    | 15   
387    | 0          | INT             | 36    | 16   
388    | )          | RPAREN          | 36    | 17   
389    | |ket1>     | KET_IDENTIFIER  | 37    | 4    
390    | =          | ASSIGN          | 37    | 11   
391    | (          | LPAREN          | 37    | 13   
392    | 0          | INT             | 37    | 14   
393    | ,          | COMMA           | 37    | 15   
394    | 1          | INT             | 37    | 16   
395    | )          | RPAREN          | 37    | 17   
396    | op         | IDENTIFIER      | 38    | 4    
397    | =          | ASSIGN          | 38    | 7    
398    | (          | LPAREN          | 38    | 9    
399    | (          | LPAREN          | 38    | 10   
400    | 1          | INT             | 38    | 11   
401    | ,          | COMMA           | 38    | 12   
402    | 0          | INT             | 38    | 13   
403    | )          | RPAREN          | 38    | 14   
404    | ,          | COMMA           | 38    | 15   
405    | (          | LPAREN          | 38    | 17   
406    | 0          | INT             | 38    | 18   
407    | ,          | COMMA           | 38    | 19   
408    | 1          | INT             | 38    | 20   
409    | )          | RPAREN          | 38    | 21   
410    | )          | RPAREN          | 38    | 22   
411    | op2        | IDENTIFIER      | 39    | 4    
412    | =          | ASSIGN          | 39    | 8    
413    | 1          | INT             | 39    | 10   
414    | /          | DIV             | 39    | 11   
415    | 2          | INT             | 39    | 12   
416    | *          | MUL             | 39    | 14   
417    | (          | LPAREN          | 39    | 16   
418    | (          | LPAREN          | 39    | 17   
419    | 1i         | COMPLEX         | 39    | 18   
420    | ,          | COMMA           | 39    | 20   
421    | 1i         | COMPLEX         | 39    | 21   
422    | )          | RPAREN          | 39    | 23   
423    | ,          | COMMA           | 39    | 24   
424    | (          | LPAREN          | 39    | 26   
425    | 1i         | COMPLEX         | 39    | 27   
426    | ,          | COMMA           | 39    | 29   
427    | 1i         | COMPLEX         | 39    | 30   
428    | )          | RPAREN          | 39    | 32   
429    | )          | RPAREN          | 39    | 33   
430    | |ket0>     | KET_IDENTIFIER  | 40    | 4    
431    | =          | ASSIGN          | 40    | 11   
432    | (          | LPAREN          | 40    | 13   
433    | 1          | INT             | 40    | 14   
434    | ,          | COMMA           | 40    | 15   
435    | 0          | INT             | 40    | 16   
436    | )          | RPAREN          | 40    | 17   
437    | |ket1>     | KET_IDENTIFIER  | 41    | 4    
438    | =          | ASSIGN          | 41    | 11   
439    | (          | LPAREN          | 41    | 13   
440    | 0          | INT             | 41    | 14   
441    | ,          | COMMA           | 41    | 15   
442    | 1          | INT             | 41    | 16   
443    | )          | RPAREN          | 41    | 17   
444    | op         | IDENTIFIER      | 42    | 4    
445    | =          | ASSIGN          | 42    | 7    
446    | (          | LPAREN          | 42    | 9    
447    | (          | LPAREN          | 42    | 10   
448    | 1          | INT             | 42    | 11   
449    | ,          | COMMA           | 42    | 12   
450    | 0          | INT             | 42    | 13   
451    | )          | RPAREN          | 42    | 14   
452    | ,          | COMMA           | 42    | 15   
453    | (          | LPAREN          | 42    | 17   
454    | 0          | INT             | 42    | 18   
455    | ,          | COMMA           | 42    | 19   
456    | 1          | INT             | 42    | 20   
457    | )          | RPAREN          | 42    | 21   
458    | )          | RPAREN          | 42    | 22   
459    | op2        | IDENTIFIER      | 43    | 4    
460    | =          | ASSIGN          | 43    | 8    
461    | 1          | INT             | 43    | 10   
462    | /          | DIV             | 43    | 11   
463    | 2          | INT             | 43    | 12   
464    | *          | MUL             | 43    | 14   
465    | (          | LPAREN          | 43    | 16   
466    | (          | LPAREN          | 43    | 17   
467    | 1i         | COMPLEX         | 43    | 18   
468    | ,          | COMMA           | 43    | 20   
469    | 1i         | COMPLEX         | 43    | 21   
470    | )          | RPAREN          | 43    | 23   
471    | ,          | COMMA           | 43    | 24   
472    | (          | LPAREN          | 43    | 26   
473    | 1i         | COMPLEX         | 43    | 27   
474    | ,          | COMMA           | 43    | 29   
475    | 1i         | COMPLEX         | 43    | 30   
476    | )          | RPAREN          | 43    | 32   
477    | )          | RPAREN          | 43    | 33   
478    | |ket0>     | KET_IDENTIFIER  | 44    | 4    
479    | =          | ASSIGN          | 44    | 11   
480    | (          | LPAREN          | 44    | 13   
481    | 1          | INT             | 44    | 14   
482    | ,          | COMMA           | 44    | 15   
483    | 0          | INT             | 44    | 16   
484    | )          | RPAREN          | 44    | 17   
485    | |ket1>     | KET_IDENTIFIER  | 45    | 4    
486    | =          | ASSIGN          | 45    | 11   
487    | (          | LPAREN          | 45    | 13   
488    | 0          | INT             | 45    | 14   
489    | ,          | COMMA           | 45    | 15   
490    | 1          | INT             | 45    | 16   
491    | )          | RPAREN          | 45    | 17   
492    | op         | IDENTIFIER      | 46    | 4    
493    | =          | ASSIGN          | 46    | 7    
494    | (          | LPAREN          | 46    | 9    
495    | (          | LPAREN          | 46    | 10   
496    | 1          | INT             | 46    | 11   
497    | ,          | COMMA           | 46    | 12   
498    | 0          | INT             | 46    | 13   
499    | )          | RPAREN          | 46    | 14   
500    | ,          | COMMA           | 46    | 15   
501    | (          | LPAREN          | 46    | 17   
502    | 0          | INT             | 46    | 18   
503    | ,          | COMMA           | 46    | 19   
504    | 1          | INT             | 46    | 20   
505    | )          | RPAREN          | 46    | 21   
506    | )          | RPAREN          | 46    | 22   
507    | op2        | IDENTIFIER      | 47    | 4    
508    | =          | ASSIGN          | 47    | 8    
509    | 1          | INT             | 47    | 10   
510    | /          | DIV             | 47    | 11   
511    | 2          | INT             | 47    | 12   
512    | *          | MUL             | 47    | 14   
513    | (          | LPAREN          | 47    | 16   
514    | (          | LPAREN          | 47    | 17   
515    | 1i         | COMPLEX         | 47    | 18   
516    | ,          | COMMA           | 47    | 20   
517    | 1i         | COMPLEX         | 47    | 21   
518    | )          | RPAREN          | 47    | 23   
519    | ,          | COMMA           | 47    | 24   
520    | (          | LPAREN          | 47    | 26   
521    | 1i         | COMPLEX         | 47    | 27   
522    | ,          | COMMA           | 47    | 29   
523    | 1i         | COMPLEX         | 47    | 30   
524    | )          | RPAREN          | 47    | 32   
525    | )          | RPAREN          | 47    | 33   
526    | |ket0>     | KET_IDENTIFIER  | 48    | 4    
527    | =          | ASSIGN          | 48    | 11   
528    | (          | LPAREN          | 48    | 13   
529    | 1          | INT             | 48    | 14   
530    | ,          | COMMA           | 48    | 15   
531    | 0          | INT             | 48    | 16   
532    | )          | RPAREN          | 48    | 17   
533    | |ket1>     | KET_IDENTIFIER  | 49    | 4    
534    | =          | ASSIGN          | 49    | 11   
535    | (          | LPAREN          | 49    | 13   
536    | 0          | INT             | 49    | 14   
537    | ,          | COMMA           | 49    | 15   
538    | 1          | INT             | 49    | 16   
539    | )          | RPAREN          | 49    | 17   
540    | op         | IDENTIFIER      | 50    | 4    
541    | =          | ASSIGN          | 50    | 7    
542    | (          | LPAREN          | 50    | 9    
543    | (          | LPAREN          | 50    | 10   
544    | 1          | INT             | 50    | 11   
545    | ,          | COMMA           | 50    | 12   
546    | 0          | INT             | 50    | 13   
547    | )          | RPAREN          | 50    | 14   
548    | ,          | COMMA           | 50    | 15   
549    | (          | LPAREN          | 50    | 17   
550    | 0          | INT             | 50    | 18   
551    | ,          | COMMA           | 50    | 19   
552    | 1          | INT             | 50    | 20   
553    | )          | RPAREN          | 50    | 21   
554    | )          | RPAREN          | 50    | 22   
555    | op2        | IDENTIFIER      | 51    | 4    
556    | =          | ASSIGN          | 51    | 8    
557    | 1          | INT             | 51    | 10   
558    | /          | DIV             | 51    | 11   
559    | 2          | INT             | 51    | 12   
560    | *          | MUL             | 51    | 14   
561    | (          | LPAREN          | 51    | 16   
562    | (          | LPAREN          | 51    | 17   
563    | 1i         | COMPLEX         | 51    | 18   
564    | ,          | COMMA           | 51    | 20   
565    | 1i         | COMPLEX         | 51    | 21   
566    | )          | RPAREN          | 51    | 23   
567    | ,          | COMMA           | 51    | 24   
568    | (          | LPAREN          | 51    | 26   
569    | 1i         | COMPLEX         | 51    | 27   
570    | ,          | COMMA           | 51    | 29   
571    | 1i         | COMPLEX         | 51    | 30   
572    | )          | RPAREN          | 51    | 32   
573    | )          | RPAREN          | 51    | 33   
574    | |ket0>     | KET_IDENTIFIER  | 52    | 4    
575    | =          | ASSIGN          | 52    | 11   
576    | (          | LPAREN          | 52    | 13   
577    | 1          | INT             | 52    | 14   
578    | ,          | COMMA           | 52    | 15   
579    | 0          | INT             | 52    | 16   
580    | )          | RPAREN          | 52    | 17   
581    | |ket1>     | KET_IDENTIFIER  | 53    | 4    
582    | =          | ASSIGN          | 53    | 11   
583    | (          | LPAREN          | 53    | 13   
584    | 0          | INT             | 53    | 14   
585    | ,          | COMMA           | 53    | 15   
586    | 1          | INT             | 53    | 16   
587    | )          | RPAREN          | 53    | 17   
588    | op         | IDENTIFIER      | 54    | 4    
589    | =          | ASSIGN          | 54    | 7    
590    | (          | LPAREN          | 54    | 9    
591    | (          | LPAREN          | 54    | 10   
592    | 1          | INT             | 54    | 11   
593    | ,          | COMMA           | 54    | 12   
594    | 0          | INT             | 54    | 13   
595    | )          | RPAREN          | 54    | 14   
596    | ,          | COMMA           | 54    | 15   
597    | (          | LPAREN          | 54    | 17   
598    | 0          | INT             | 54    | 18   
599    | ,          | COMMA           | 54    | 19   
600    | 1          | INT             | 54    | 20   
601    | )          | RPAREN          | 54    | 21   
602    | )          | RPAREN          | 54    | 22   
603    | op2        | IDENTIFIER      | 55    | 4    
604    | =          | ASSIGN          | 55    | 8    
605    | 1          | INT             | 55    | 10   
606    | /          | DIV             | 55    | 11   
607    | 2          | INT             | 55    | 12   
608    | *          | MUL             | 55    | 14   
609    | (          | LPAREN          | 55    | 16   
610    | (          | LPAREN          | 55    | 17   
611    | 1i         | COMPLEX         | 55    | 18   
612    | ,          | COMMA           | 55    | 20   
613    | 1i         | COMPLEX         | 55    | 21   
614    | )          | RPAREN          | 55    | 23   
615    | ,          | COMMA           | 55    | 24   
616    | (          | LPAREN          | 55    | 26   
617    | 1i         | COMPLEX         | 55    | 27   
618    | ,          | COMMA           | 55    | 29   
619    | 1i         | COMPLEX         | 55    | 30   
620    | )          | RPAREN          | 55    | 32   
621    | )          | RPAREN          | 55    | 33   
622    | |ket0>     | KET_IDENTIFIER  | 56    | 4    
623    | =          | ASSIGN          | 56    | 11   
624    | (          | LPAREN          | 56    | 13   
625    | 1          | INT             | 56    | 14   
626    | ,          | COMMA           | 56    | 15   
627    | 0          | INT             | 56    | 16   
628    | )          | RPAREN          | 56    | 17   
629    | |ket1>     | KET_IDENTIFIER  | 57    | 4    
630    | =          | ASSIGN          | 57    | 11   
631    | (          | LPAREN          | 57    | 13   
632    | 0          | INT             | 57    | 14   
633    | ,          | COMMA           | 57    | 15   
634    | 1          | INT             | 57    | 16   
635    | )          | RPAREN          | 57    | 17   
636    | op         | IDENTIFIER      | 58    | 4    
637    | =          | ASSIGN          | 58    | 7    
638    | (          | LPAREN          | 58    | 9    
639    | (          | LPAREN          | 58    | 10   
640    | 1          | INT             | 58    | 11   
641    | ,          | COMMA           | 58    | 12   
642    | 0          | INT             | 58    | 13   
643    | )          | RPAREN          | 58    | 14   
644    | ,          | COMMA           | 58    | 15   
645    | (          | LPAREN          | 58    | 17   
646    | 0          | INT             | 58    | 18   
647    | ,          | COMMA           | 58    | 19   
648    | 1          | INT             | 58    | 20   
649    | )          | RPAREN          | 58    | 21   
